"Title","Publication number","Publication date","Inventor(s)","Applicant(s)","International classification","Cooperative Patent Classification","Application number","Date of application","Priority number(s)","Patents cited in the search report","Literature cited in the search report","Patents cited during examination","Literature cited during examination","Other patent citations","Other literature citations","Patents used in opposition","Literature used in opposition","Patents cited by the applicant","Literature cited by the applicant","International search citation","International search NPL citation","Supplementary international search citation","Supplementary international search NPL citation"
"VIRTUAL SPOT MARKET FOR ADVERTISEMENTS","KR20090018656 (A)","2009-02-20","FLAKE GARY W [US];  GOUNARES ALEXANDER G [US];  GATES WILLIAM H III [US];  MOSS KENNETH A [US];  DUMAIS SUSAN T [US];  NAAM RAMEZ [US];  HORVITZ ERIC J [US];  GOODMAN JOSHUA T [US]","MICROSOFT CORP [US]","G06Q30/00; G06Q50/00","G06Q30/02; G06Q30/0601; G06Q30/08","KR20087031009","20081219","US20060427312 20060628","","","","","","","","","","","","","",""
"Look ahead of links/alter links","US2009165134 (A1)","2009-06-25","FLAKE GARY W [US];  GATES III WILLIAM H [US];  HYDE RODERICK A [US];  JUNG EDWARD K Y [US];  LEVIEN ROYCE A [US];  LORD ROBERT W [US];  RASHID RICHARD F [US];  TEGREENE CLARENCE T [US];  WHITMER CHARLES [US];  WOOD JR LOWELL L [US];  RINALDO JR JOHN D [US];  MALAMUD MARK A [US]","SEARETE LLC","G06F21/00","G06F16/957; G06F2221/2149","US20080154423","20080522","US20080154423 20080522; US20070005064 20071221; US20070005637 20071227; US20080074855 20080306; US20080154148 20080520","US2006047663 (A1); US2007067775 (A1); US2007294689 (A1); US2008244579 (A1); US2003009495 (A1); US2003014659 (A1); US6510458 (B1); US6990590 (B2); US2008004802 (A1); US2008005264 (A1); US2009012965 (A1); US2011016468 (A1); US6850252 (B1); US2006031505 (A1); US7181744 (B2); US2011033080 (A1); US6353850 (B1); US2005050222 (A1); US2005060365 (A1); US2007050766 (A1); US2007053513 (A1); US7188216 (B1); US2012054367 (A1); US5619710 (A); US2004073924 (A1); US7920714 (B2); US8166139 (B2); US2006101514 (A1); US2008109871 (A1); US6572662 (B2); US2004122856 (A1); US7069562 (B2); US2008133540 (A1); US2008155602 (A1); US2009164924 (A1); US2009164992 (A1); US2009164993 (A1); US7730190 (B2); US2002095411 (A1); US6424979 (B1); US2012208510 (A1); US6125387 (A); US2003172050 (A1); US2011228791 (A1); US8015174 (B2); US7818215 (B2); US2006271395 (A1); US2007259592 (A1); US2007271610 (A1); US8584094 (B2); US6665659 (B1); US2005278333 (A1); US2008307066 (A1); US2009319462 (A1); US2007234337 (A1); US2002072329 (A1)","","","","","","","","","","","","",""
"Look ahead of links/alter links","US2009164993 (A1); US8495486 (B2)","2009-06-25","FLAKE GARY W [US];  GATES III WILLIAM H [US];  JUNG EDWARD K Y [US];  HYDE RODERICK A [US];  LEVIEN ROYCE A [US];  LORD ROBERT W [US];  MALAMUD MARK A [US];  RASHID RICHARD F [US];  RINALDO JR JOHN A [US];  TEGREENE CLARENCE T [US];  WHITMER CHARLES [US];  WOOD JR LOWELL L [US]","SEARETE LLC","G06F9/455","G06F9/45537; G06F16/24575; G06F21/552","US20080215695","20080627","US20080215695 20080627; US20070005064 20071221; US20070005637 20071227; US20080154148 20080520; US20080154423 20080522; US20080154436 20080522; US20080214784 20080620","US2003009495 (A1); US2003014659 (A1); US6510458 (B1); US6990590 (B2); US2008004802 (A1); US2008005264 (A1); US2009024592 (A1); US2011016468 (A1); US6850252 (B1); US2006031505 (A1); US7181744 (B2); US2008046592 (A1); US2011033080 (A1); US2011041084 (A1); US6353850 (B1); US2005050222 (A1); US2005060365 (A1); US2006047663 (A1); US2006059091 (A1); US2007053513 (A1); US2007067775 (A1); US7188216 (B1); US2012054367 (A1); US5619710 (A); US2004073924 (A1); US2006072724 (A1); US7920714 (B2); US2006101514 (A1); US6572662 (B2); US2004122856 (A1); US2006133540 (A1); US7069562 (B2); US2008133540 (A1); US2008155602 (A1); US2009164924 (A1); US2009164992 (A1); US2009165134 (A1); US7730190 (B2); US2002095411 (A1); US6424979 (B1); US2008199042 (A1); US2012208510 (A1); US6125387 (A); US2003172050 (A1); US2006206715 (A1); US2011228791 (A1); US2008244579 (A1); US7818215 (B2); US2002174185 (A1); US2006271395 (A1); US2007259592 (A1); US2007271610 (A1); US2008289023 (A1); US6665659 (B1); US2005278333 (A1); US2007288589 (A1); US2007294689 (A1); US2008307066 (A1); US2009319462 (A1); US2002174185 (A1); US2006047663 (A1); US2007067775 (A1); US2008289023 (A1); US2011041084 (A1)","","","","","","","","US5619710 (A); US6125387 (A); US6353850 (B1); US6424979 (B1); US6510458 (B1); US6572662 (B2); US6665659 (B1); US6850252 (B1); US6990590 (B2); US7069562 (B2); US7181744 (B2); US7188216 (B1); US7730190 (B2); US7818215 (B2); US7920714 (B2); US2002095411 (A1); US2003009495 (A1); US2003014659 (A1); US2003172050 (A1); US2004073924 (A1); US2004122856 (A1); US2005050222 (A1); US2005060365 (A1); US2005278333 (A1); US2006031505 (A1); US2006059091 (A1); US2006072724 (A1); US2006101514 (A1); US2006206715 (A1); US2006259592 (A1); US2006271395 (A1); US2007053513 (A1); US2007271610 (A1); US2007288589 (A1); US2007294689 (A1); US2008004802 (A1); US2008005264 (A1); US2008046592 (A1); US2008133540 (A1); US2008155602 (A1); US2008199042 (A1); US2008244579 (A1); US2008307066 (A1); US2009024592 (A1); US2009164924 (A1); US2009164992 (A1); US2009165134 (A1); US2009319462 (A1); US2011016468 (A1); US2011033080 (A1); US2011228791 (A1); US2012054367 (A1); US2012208510 (A1); WO2007106185 (A2)","","","","",""
"Look ahead of links/alter links","US2009164992 (A1); US8489981 (B2)","2009-06-25","FLAKE GARY W [US];  GATES III WILLIAM H [US];  HYDE RODERICK A [US];  JUNG EDWARD K Y [US];  LEVIEN ROYCE A [US];  LORD ROBERT W [US];  MALAMUD MARK A [US];  RASHID RICHARD F [US];  RINALDO JR JOHN D [US];  TEGREENE CLARENCE T [US];  WHITMER CHARLES [US];  WOOD JR LOWELL L [US]","SEARETE LLC","G06F9/455; G06F17/30","G06F9/45537; G06F16/9535","US20080214784","20080620","US20080214784 20080620; US20080154148 20080520; US20080154423 20080522; US20080154436 20080522; US20070005064 20071221; US20070005637 20071227; US20080074855 20080306","US2003009495 (A1); US2003014659 (A1); US6510458 (B1); US6990590 (B2); US2008004802 (A1); US2008005264 (A1); US2009024592 (A1); US2011016468 (A1); US6850252 (B1); US2006031505 (A1); US7181744 (B2); US2008046592 (A1); US2011041084 (A1); US6353850 (B1); US2005050222 (A1); US2005060365 (A1); US2006047663 (A1); US2006059091 (A1); US2007053513 (A1); US2007067775 (A1); US7188216 (B1); US2012054367 (A1); US5619710 (A); US2006072724 (A1); US7920714 (B2); US2006101514 (A1); US6572662 (B2); US7069562 (B2); US2008133540 (A1); US2009164924 (A1); US2009164993 (A1); US2009165134 (A1); US7730190 (B2); US2002095411 (A1); US6424979 (B1); US2008199042 (A1); US2012208510 (A1); US6125387 (A); US2003172050 (A1); US2006206715 (A1); US2011228791 (A1); US2008244579 (A1); US7818215 (B2); US2002174185 (A1); US2006271395 (A1); US2007259592 (A1); US2007271610 (A1); US2008289023 (A1); US6665659 (B1); US2005278333 (A1); US2007288589 (A1); US2007294689 (A1); US2006047663 (A1); US2007067775 (A1); US2008289023 (A1); US2011041084 (A1)","","","","","","","","US5619710 (A); US6125387 (A); US6353850 (B1); US6424979 (B1); US6510458 (B1); US6572662 (B2); US6665659 (B1); US6850252 (B1); US6990590 (B2); US7069562 (B2); US7181744 (B2); US7188216 (B1); US7730190 (B2); US7818215 (B2); US7920714 (B2); US2002095411 (A1); US2002174185 (A1); US2003009495 (A1); US2003014659 (A1); US2003172050 (A1); US2004073924 (A1); US2004122856 (A1); US2005050222 (A1); US2005060365 (A1); US2005278333 (A1); US2006031505 (A1); US2006059091 (A1); US2006072724 (A1); US2006101514 (A1); US2006206715 (A1); US2006259592 (A1); US2006271395 (A1); US2007053513 (A1); US2007271610 (A1); US2007288589 (A1); US2007294689 (A1); US2008004802 (A1); US2008005264 (A1); US2008046592 (A1); US2008133540 (A1); US2008155602 (A1); US2008199042 (A1); US2008244579 (A1); US2008307066 (A1); US2009024592 (A1); US2009164924 (A1); US2009164993 (A1); US2009165134 (A1); US2009319462 (A1); US2011016468 (A1); US2011033080 (A1); US2011228791 (A1); US2012054367 (A1); US2012208510 (A1); WO2007106185 (A2)","","","","",""
"Look ahead of links/alter links","US2009164924 (A1); US8473836 (B2)","2009-06-25","FLAKE GARY W [US];  GATES III WILLIAM H [US];  HYDE RODERICK A [US];  JUNG EDWARD K Y [US];  LEVIEN ROYCE A [US];  LORD ROBERT W [US];  MALAMUD MARK A [US];  RASHID RICHARD F [US];  RINALDO JR JOHN D [US];  TEGREENE CLARENCE T [US];  WHITMER CHARLES [US];  WOOD JR LOWELL L [US]","SEARETE LLC","G06F3/048","G06F9/45533; G06F16/9535","US20080154148","20080520","US20080154148 20080520; US20070005064 20071221; US20070005637 20071227; US20080074855 20080306","US6510458 (B1); US6990590 (B2); US2008004802 (A1); US2008005264 (A1); US6850252 (B1); US7181744 (B2); US2011033080 (A1); US2011046468 (A1); US6353850 (B1); US2005050222 (A1); US2005060365 (A1); US2006047663 (A1); US2007053513 (A1); US7188216 (B1); US2012054367 (A1); US5619710 (A); US2004073924 (A1); US7920714 (B2); US6572662 (B2); US2004122856 (A1); US7069562 (B2); US2008133540 (A1); US2008155602 (A1); US2009164992 (A1); US2009164993 (A1); US2009165134 (A1); US2002095411 (A1); US6424979 (B1); US2012208510 (A1); US6125387 (A); US2003172050 (A1); US2011228791 (A1); US2008244579 (A1); US7818215 (B2); US2006271395 (A1); US6665659 (B1); US2007294689 (A1); US2008307066 (A1); US2009319462 (A1); US2002174185 (A1); US2006047663 (A1); US2007067775 (A1); US2011041084 (A1)","","","","","","","","US5619710 (A); US6125387 (A); US6353850 (B1); US6424979 (B1); US6510458 (B1); US6572662 (B2); US6665659 (B1); US6850252 (B1); US6990590 (B2); US7069562 (B2); US7181744 (B2); US7188216 (B1); US7730190 (B2); US7818215 (B2); US7920714 (B2); US2002095411 (A1); US2003009495 (A1); US2003014659 (A1); US2003172050 (A1); US2004073924 (A1); US2004122856 (A1); US2005050222 (A1); US2005060365 (A1); US2005278333 (A1); US2006031505 (A1); US2006059091 (A1); US2006072724 (A1); US2006101514 (A1); US2006206715 (A1); US2006259592 (A1); US2006271395 (A1); US2007053513 (A1); US2007271610 (A1); US2007288589 (A1); US2007294689 (A1); US2008004802 (A1); US2008005264 (A1); US2008046592 (A1); US2008133540 (A1); US2008155602 (A1); US2008199042 (A1); US2008244579 (A1); US2008289023 (A1); US2008307066 (A1); US2009024592 (A1); US2009164992 (A1); US2009164993 (A1); US2009165134 (A1); US2009319462 (A1); US2011016468 (A1); US2011033080 (A1); US2011228791 (A1); US2012054367 (A1); US2012208510 (A1); WO2007106185 (A2)","","","","",""
"Look Ahead of links/alter links","US2009164892 (A1); US8949977 (B2)","2009-06-25","FLAKE GARY W [US];  GATES III WILLIAM H [US];  HYDE RODERICK A [US];  JUNG EDWARD K Y [US];  LEVIEN ROYCE A [US];  LORD ROBERT W [US];  MALAMUD MARK A [US];  RASHID RICHARD F [US];  RINALDO JR JOHN D [US];  TEGREENE CLARENCE T [US];  WHITMER CHARLES [US];  WOOD JR LOWELL L [US]","SEARETE LLC","G06F3/14","G06F3/14; G09G2370/027","US20080074855","20080306","US20080074855 20080306; US20070005637 20071227; US20070005064 20071221","US2002174185 (A1); US2005278333 (A1); US2006101514 (A1); US2006259592 (A1); US2006031505 (A1); US2006047663 (A1); US2007271610 (A1); US2007067775 (A1); US2003009495 (A1); US2003014659 (A1); US6510458 (B1); US2003172050 (A1); US2005050222 (A1); US2006271395 (A1); US2008133540 (A1); US8015174 (B2); US8037527 (B2); US8112748 (B2); US8584094 (B2); US2008005264 (A1); WO2007106185 (A2); US8166139 (B2); US2007050766 (A1); US2008109871 (A1); US2008155602 (A1); US2009012965 (A1); US6990590 (B2); US2008004802 (A1); US2011016468 (A1); US6850252 (B1); US7181744 (B2); US6353850 (B1); US2005060365 (A1); US2007053513 (A1); US7188216 (B1); US2012054367 (A1); US5619710 (A); US7920714 (B2); US6572662 (B2); US7069562 (B2); US7730190 (B2); US2002095411 (A1); US6424979 (B1); US2012208510 (A1); US2011228791 (A1); US2008244579 (A1); US6665659 (B1); US2007294689 (A1); US6510458 (B1); US8015174 (B2); US8037527 (B2); US8112748 (B2); US8166139 (B2); US8584094 (B2); US2002174185 (A1); US2003009495 (A1); US2003014659 (A1); US2003172050 (A1); US2005050222 (A1); US2005278333 (A1); US2006031505 (A1); US2006047663 (A1); US2006101514 (A1); US2006259592 (A1); US2006271395 (A1); US2007050766 (A1); US2007067775 (A1); US2007271610 (A1); US2008005264 (A1); US2008109871 (A1); US2008133540 (A1); US2008155602 (A1); US2009012965 (A1); WO2007106185 (A2)","","","","","","","","US5619710 (A); US6125387 (A); US6353850 (B1); US6424979 (B1); US6572662 (B2); US6665659 (B1); US6850252 (B1); US6990590 (B2); US7069562 (B2); US7181744 (B2); US7188216 (B1); US7730190 (B2); US7818215 (B2); US7920714 (B2); US2002095411 (A1); US2004073924 (A1); US2004122856 (A1); US2005060365 (A1); US2006059091 (A1); US2006072724 (A1); US2006206715 (A1); US2007053513 (A1); US2007288589 (A1); US2007294689 (A1); US2008004802 (A1); US2008046592 (A1); US2008199042 (A1); US2008244579 (A1); US2008289023 (A1); US2008307066 (A1); US2009024592 (A1); US2009319462 (A1); US2011016468 (A1); US2011033080 (A1); US2011041084 (A1); US2011228791 (A1); US2012054367 (A1); US2012208510 (A1); WO2007106185 (A2)","","","","",""
"Look ahead of links/alter links","US2009164504 (A1); US8468440 (B2)","2009-06-25","FLAKE GARY W [US];  GATES III WILLIAM H [US];  HYDE RODERICK A [US];  JUNG EDWARD K Y [US];  LEVIEN ROYCE A [US];  LORD ROBERT W [US];  RASHID RICHARD F [US];  TEGREENE CLARENCE T [US];  WHITMER CHARLES [US];  WOOD JR LOWELL L [US];  RINALDO JR JOHN D [US];  MALAMUD MARK A [US]","SEARETE LLC","G06F17/30","G06F16/9535","US20080154436","20080522","US20080154436 20080522; US20070005064 20071221; US20070005637 20071227; US20080074855 20080306; US20080154148 20080520","US6424979 (B1); US2002095411 (A1); US6665659 (B1); US2005060365 (A1); US7069562 (B2); US7188216 (B1); US2008004802 (A1); US2012054367 (A1); US6353850 (B1); US6572662 (B2); US7730190 (B2); US2011016468 (A1); US2011228791 (A1); US2012208510 (A1); US6125387 (A); US2004073924 (A1); US2004122856 (A1); US2008155602 (A1); US2008307066 (A1); US2009319462 (A1); US6510458 (B1); US6990590 (B2); US2008005264 (A1); US2009024592 (A1); US6850252 (B1); US7181744 (B2); US2008046592 (A1); US2011041084 (A1); US2005050222 (A1); US2006047663 (A1); US2006059091 (A1); US2007053513 (A1); US2007067775 (A1); US5619710 (A); US2006072724 (A1); US7920714 (B2); US2008133540 (A1); US2009164924 (A1); US2009164992 (A1); US2009164993 (A1); US2009165134 (A1); US2008199042 (A1); US2003172050 (A1); US2006206715 (A1); US2008244579 (A1); US2002174185 (A1); US2006271395 (A1); US2008289023 (A1); US2007288589 (A1); US2007294689 (A1); US7818215 (B2); US2011033080 (A1); US5619710 (A); US6125387 (A); US6353850 (B1); US6424979 (B1); US6572662 (B2); US6665659 (B1); US6990590 (B2); US7069562 (B2); US7181744 (B2); US7188216 (B1); US7730190 (B2); US7818215 (B2); US7920714 (B2); US2002095411 (A1); US2002174185 (A1); US2004073924 (A1); US2004122856 (A1); US2005060365 (A1); US2006059091 (A1); US2006072724 (A1); US2006206715 (A1); US2007288589 (A1); US2008004802 (A1); US2008046592 (A1); US2008155602 (A1); US2008199042 (A1); US2008307066 (A1); US2009024592 (A1); US2009319462 (A1); US2011016468 (A1); US2011033080 (A1); US2011228791 (A1); US2012054367 (A1); US2012208510 (A1)","","","","","","","","US6510458 (B1); US6850252 (B1); US2003009495 (A1); US2003014659 (A1); US2003172050 (A1); US2005050222 (A1); US2005278333 (A1); US2006031505 (A1); US2006047663 (A1); US2006101514 (A1); US2006259592 (A1); US2006271395 (A1); US2007053513 (A1); US2007067775 (A1); US2007271610 (A1); US2007294689 (A1); US2008005264 (A1); US2008133540 (A1); US2008244579 (A1); US2008289023 (A1); US2009164924 (A1); US2009164992 (A1); US2009164993 (A1); US2009165134 (A1); US2011041084 (A1); WO2007106185 (A2)","","","","",""
"Intelligently guiding search based on user dialog","CN101479727 (A); CN101479727 (B)","2009-07-08","FLAKE GARY W, ; GATES III WILLIAM H, ; MOSS KENNETH A, ; OZZIE RAYMOND E, ; GOODMAN JOSHUA T, ; HORVITZ ERIC J, ; HURST-HILLER OLIVER, ; PLATT JOHN C, ; BRUNELL BRADLY A","MICROSOFT CORP [US]","G06F17/30","G06F16/951; G06F17/00","CN20078024382","20070625","US20060427302 20060628; WO2007US14721 20070625","","","","","","","","","","","","","",""
"Water alteration structure risk management or ecological alteration management systems and methods","US2009177569 (A1)","2009-07-09","BOWERS JEFFREY A [US];  CALDEIRA KENNETH G [US];  CHAN ALISTAIR K [US];  GATES III WILLIAM H [US];  HYDE RODERICK A [US];  ISHIKAWA MURIEL Y [US];  KARE JORDIN T [US];  LATHAM JOHN [US];  MYHRVOLD NATHAN P [US];  SALTER STEPHEN H [GB];  TEGREENE CLARENCE T [US];  WOOD JR LOWELL L [US]","","G06Q99/00","A01G15/00; B63B35/00; E02B1/003; G06Q40/00; G06Q40/08; Y02A10/40; Y02E10/20; Y02E10/30; Y10T137/0318; Y10T137/8593","US20080006804","20080103","US20080006804 20080103; US20080006815 20080103; US20080006805 20080103; US20080006823 20080103","US2002009338 (A1); US7479708 (B1); US7652388 (B2); US3939356 (A); US4316361 (A); US5186822 (A); US5492274 (A); US2005031417 (A1); US4255066 (A); US2007048086 (A1); US4914915 (A); US2004078321 (A1); US2007084768 (A1); US7520237 (B1); US3732918 (A); US4152895 (A); US4662781 (A); US2007101921 (A1); US4279127 (A); US4462211 (A); US2008175728 (A1); US3683627 (A); US4537213 (A); US5232384 (A); US5441200 (A); US6772592 (B2); US3688770 (A); US4470544 (A); US3276213 (A); US3701262 (A); US2006233613 (A1); US1513874 (A); US6315213 (B1); US2007257126 (A1); US2007270057 (A1); US2008277492 (A1); US4307299 (A); US2005267827 (A1); US2005288941 (A1); US2006278154 (A1)","","","","","","","","","","","","",""
"Rewarding influencers","US2009177527 (A1)","2009-07-09","FLAKE GARY W [US];  GATES III WILLIAM H [US];  GOUNARES ALEXANDER G [US];  HILLIS W DANIEL [US];  LEVIEN ROYCE A [US];  MALAMUD MARK A [US];  MUNDIE CRAIG J [US];  PAYNE CHRISTOPHER D [US];  RASHID RICHARD F [US];  TEGREENE CLARENCE T [US];  WHITMER CHARLES [US];  WOOD JR LOWELL L [US]","","G06Q30/00; G06Q10/00","G06Q10/10; G06Q30/02; G06Q30/0214; G06Q30/0215","US20080290310","20081028","US20070799460 20070430; US20080290310 20081028; US20070906780 20071002; US20070799461 20070430; US20070811402 20070608; US20070811349 20070607; US20070824551 20070629; US20070906537 20071001; US20070824580 20070629; US20070881800 20070727","US2003014331 (A1); US2006010105 (A1); US2009006218 (A1); US2007038516 (A1); US6041326 (A); US2003055723 (A1); US6873314 (B1); US2007067215 (A1); US7516094 (B2); US7933956 (B2); US2002055909 (A1); US2005137939 (A1); US2006116926 (A1); US7966369 (B1); US2003131100 (A1); US2006161553 (A1); US5933811 (A); US2007198339 (A1); US7769626 (B2); US7996256 (B1); US8005697 (B1); US2003182162 (A1); US7797204 (B2); US8013729 (B2); US6129276 (A); US2005234917 (A1); US2007244914 (A1); US7437368 (B1); US7818399 (B1); US2001042064 (A1); US2003220837 (A1); US7143075 (B1); US2007265918 (A1); US2008294768 (A1); US2009282052 (A1); US2001049620 (A1); US2003233278 (A1); US2004260574 (A1); US2006282328 (A1); US2006287916 (A1); US2006293951 (A1); US2008306820 (A1); US7627660 (B2); US4870591 (A); US4961224 (A); US4962532 (A); US5884270 (A); US6061692 (A); US6061789 (A); US2001032210 (A1); US2001049681 (A1); US2001052761 (A1); US2002004727 (A1); US2002010679 (A1); US2003220844 (A1); US2004073570 (A1); US6735601 (B1); US6886000 (B1); US6961562 (B2); US2006155842 (A1); US7269664 (B2); US2007258460 (A1); US2006059030 (A1); US6029141 (A)","","","","","","","","","","","","",""
"Water alteration structure movement method and system","US2009175685 (A1); US8679331 (B2)","2009-07-09","BOWERS JEFFREY A [US];  CALDEIRA KENNETH G [US];  CHAN ALISTAIR K [US];  GATES III WILLIAM H [US];  HYDE RODERICK A [US];  ISHIKAWA MURIEL Y [US];  KARE JORDIN T [US];  LATHAM JOHN [US];  MYHRVOLD NATHAN P [US];  SALTER STEPHEN H [GB];  TEGREENE CLARENCE T [US];  WOOD JR LOWELL L [US]","SEARETE LLC","E02B1/00","E02B1/003; Y02E10/30","US20080006815","20080103","US20080006815 20080103","US1513874 (A); US3276213 (A); US3683627 (A); US3688770 (A); US3701262 (A); US3732918 (A); US3939356 (A); US4051810 (A); US4152895 (A); US4254626 (A); US4255066 (A); US4279127 (A); US4303520 (A); US4307299 (A); US4316361 (A); US4364691 (A); US4462211 (A); US4466244 (A); US4470544 (A); US4537213 (A); US4662781 (A); US4766539 (A); US4914915 (A); US4957392 (A); US5186822 (A); US5232384 (A); US5441200 (A); US5492274 (A); US6315213 (B1); US2002009338 (A1); US2004078321 (A1); US6772592 (B2); US2005031417 (A1); US2005267827 (A1); US2005288941 (A1); US2006233613 (A1); US2007048086 (A1); US2007084768 (A1); US2007101921 (A1); US7260549 (B2); US2007257126 (A1); US2007270057 (A1); US2008175728 (A1); US2008277492 (A1); US7479708 (B1); US7520237 (B1); US7536967 (B2); US2009173404 (A1); US7652388 (B2); US1513874 (A); US3683627 (A); US4279127 (A); US4364691 (A); US4462211 (A); US4662781 (A); US5232384 (A); US5492274 (A); US2002009338 (A1); US6772592 (B2); US2005031417 (A1); US2006233613 (A1); US2007048086 (A1); US2007084768 (A1); US2007101921 (A1); US2007257126 (A1); US2007270057 (A1); US2008175728 (A1); US2008277492 (A1); US7479708 (B1); US7520237 (B1); US7536967 (B2)","","","","","","","","US3276213 (A); US3688770 (A); US3701262 (A); US3732918 (A); US3939356 (A); US4051810 (A); US4152895 (A); US4254626 (A); US4255066 (A); US4303520 (A); US4307299 (A); US4316361 (A); US4466244 (A); US4470544 (A); US4537213 (A); US4766539 (A); US4914915 (A); US4957392 (A); US5186822 (A); US5441200 (A); WO9600848 (A1); GB2337749 (A); US6315213 (B1); US2004078321 (A1); CN1566916 (A); US2005267827 (A1); US2005288941 (A1); US2006278154 (A1); US7260549 (B2); WO2008069948 (A1); US2009173404 (A1); US2009175685 (A1); US7652388 (B2)","","","","",""
"Water alteration structure and system having below surface valves or wave reflectors","US2009173801 (A1); US8715496 (B2)","2009-07-09","BOWERS JEFFREY A [US];  CALDEIRA KENNETH G [US];  CHAN ALISTAIR K [US];  GATES III WILLIAM H [US];  HYDE RODERICK A [US];  ISHIKAWA MURIEL Y [US];  KARE JORDIN T [US];  LATHAM JOHN [US];  MYHRVOLD NATHAN P [US];  SALTER STEPHEN H [GB];  TEGREENE CLARENCE T [US];  WATTENBURG WILLARD H [US];  WOOD JR LOWELL L [US];  WOOD VICTORIA Y H [US]","SEARETE LLC","A01G15/00","A01G15/00; Y02E10/20; Y02E10/30","US20080012225","20080130","US20080006804 20080103; US20080006805 20080103; US20080006815 20080103; US20080006823 20080103; US20080012225 20080130","US1513874 (A); US3276213 (A); US3683627 (A); US3688770 (A); US3701262 (A); US3732918 (A); US3939356 (A); US4051810 (A); US4152895 (A); US4254626 (A); US4255066 (A); US4279127 (A); US4303520 (A); US4307299 (A); US4316361 (A); US4364691 (A); US4462211 (A); US4466244 (A); US4470544 (A); US4662781 (A); US4766439 (A); US4914915 (A); US4957392 (A); US5186822 (A); US5232384 (A); US5441200 (A); US5492274 (A); US6315213 (B1); US2002009338 (A1); US2004078321 (A1); US6772592 (B2); US2005031417 (A1); US2005267827 (A1); US2005288941 (A1); US2006233613 (A1); US2006278154 (A1); US2007048086 (A1); US2007084768 (A1); US2007101921 (A1); US7260549 (B2); US2007257126 (A1); US2007270057 (A1); US2008277492 (A1); US7479708 (B1); US7520237 (B1); US7536967 (B2); US2009173404 (A1); US2009175685 (A1); US7652388 (B2); US3683627 (A); US3939356 (A); US4255066 (A); US4279127 (A); US4307299 (A); US4316361 (A); US4364691 (A); US4462211 (A); US4662781 (A); US4914915 (A); US5186822 (A); WO9600848 (A1); US5492274 (A); US2002009338 (A1); US6772592 (B2); US2005031417 (A1); US2006233613 (A1); US2007048086 (A1); US2007084768 (A1); US2007101921 (A1); US2007257126 (A1); US2007270057 (A1); US2008277492 (A1); US7479708 (B1); US7520237 (B1); US7536967 (B2); US7652388 (B2)","","","","","","","","US1513874 (A); US3276213 (A); US3688770 (A); US3701262 (A); US3732918 (A); US4051810 (A); US4152895 (A); US4254626 (A); US4303520 (A); US4466244 (A); US4470544 (A); US4766539 (A); US4957392 (A); US5232384 (A); US5441200 (A); GB2337749 (A); US6315213 (B1); US2004078321 (A1); CN1566916 (A); US2005267827 (A1); US2005288941 (A1); US2006278154 (A1); US7260549 (B2); WO2008069948 (A1); US2008175728 (A1); US2009173404 (A1); US2009175685 (A1)","","","","",""
